
2025/02/03 (02:10:59) | ===> btop++ v.1.4.0
2025/02/03 (02:10:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (02:23:57) | ===> btop++ v.1.4.0
2025/02/03 (02:23:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:10:51) | ===> btop++ v.1.4.0
2025/02/04 (17:10:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:22:49) | ===> btop++ v.1.4.0
2025/02/04 (17:22:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:23:21) | ===> btop++ v.1.4.0
2025/02/04 (17:23:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:31:04) | ===> btop++ v.1.4.0
2025/02/04 (17:31:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:34:17) | ===> btop++ v.1.4.0
2025/02/04 (17:34:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:37:04) | ===> btop++ v.1.4.0
2025/02/04 (17:37:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:37:33) | ===> btop++ v.1.4.0
2025/02/04 (17:37:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:39:22) | ===> btop++ v.1.4.0
2025/02/04 (17:39:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:42:59) | ===> btop++ v.1.4.0
2025/02/04 (17:42:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:48:35) | ===> btop++ v.1.4.0
2025/02/04 (17:48:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (17:50:33) | ===> btop++ v.1.4.0
2025/02/04 (17:50:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (23:18:21) | ===> btop++ v.1.4.0
2025/02/04 (23:18:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (22:05:51) | ===> btop++ v.1.4.0
2025/02/04 (22:05:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (16:08:39) | ===> btop++ v.1.4.0
2025/02/06 (16:08:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (16:16:07) | ===> btop++ v.1.4.0
2025/02/06 (16:16:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (16:17:30) | ===> btop++ v.1.4.0
2025/02/06 (16:17:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (22:16:55) | ===> btop++ v.1.4.0
2025/02/07 (22:16:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (22:19:46) | ===> btop++ v.1.4.0
2025/02/07 (22:19:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (22:34:53) | ===> btop++ v.1.4.0
2025/02/07 (22:34:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:34:33) | ===> btop++ v.1.4.0
2025/02/08 (18:34:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (20:04:52) | ===> btop++ v.1.4.0
2025/02/08 (20:04:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (01:29:34) | ===> btop++ v.1.4.0
2025/02/10 (01:29:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (02:18:45) | ===> btop++ v.1.4.0
2025/02/11 (02:18:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (04:21:44) | ===> btop++ v.1.4.0
2025/02/11 (04:21:44) | WARNING: Intel GPU: Failed to initialize PMU
